Collection,Plate_Date,Count_Date,Rpf_Date,StockRpf (mg/mL),Soil,Concentration,Rep,Days_Incubated,Colonies,Unique Colonies,IMG,Dilution,Inoculate (mL),CFU/mL,StdCFU,Log10,StdUC
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,1,2,221,4,4422,1.00E-03,0.1,2210000,4062500,6.608793374,7.352941176
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,2,2,263,4,4424,1.00E-03,0.1,2630000,4834558.82,6.684356849,7.352941176
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,3,2,281,3,4426,1.00E-03,0.1,2810000,5165441.18,6.71310742,5.514705882
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,4,2,312,5,4428,1.00E-03,0.1,3120000,5735294.12,6.758555694,9.191176471
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.544,0,5,2,224,5,4430,1.00E-03,0.1,2240000,4117647.06,6.614649119,9.191176471
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,1,2,331,3,4432,1.00E-03,0.1,3310000,5953237.41,6.774753202,5.395683453
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,2,2,336,7,4434,1.00E-03,0.1,3360000,6043165.47,6.781264486,12.58992806
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,3,2,314,6,4436,1.00E-03,0.1,3140000,5647482.01,6.751854856,10.79136691
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,4,2,334,10,4438,1.00E-03,0.1,3340000,6007194.24,6.778671675,17.98561151
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.556,0.5,5,2,356,8,4440,1.00E-03,0.1,3560000,6402877.7,6.806375206,14.38848921
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,1,2,392,8,4442,1.00E-03,0.1,3920000,7063063.06,6.848993084,14.41441441
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,2,2,354,7,4444,1.00E-03,0.1,3540000,6378378.38,6.804710279,12.61261261
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,3,2,376,10,4446,1.00E-03,0.1,3760000,6774774.77,6.830894862,18.01801802
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,4,2,378,9,4448,1.00E-03,0.1,3780000,6810810.81,6.833198817,16.21621622
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.555,1.25,5,2,362,10,4450,1.00E-03,0.1,3620000,6522522.52,6.814415587,18.01801802
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,1,2,333,9,4452,1.00E-03,0.1,3330000,6235955.06,6.794902976,16.85393258
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,2,2,286,12,4454,1.00E-03,0.1,2860000,5355805.24,6.728824776,22.47191011
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,3,2,371,12,4456,1.00E-03,0.1,3710000,6947565.54,6.841832653,22.47191011
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,4,2,366,13,4458,1.00E-03,0.1,3660000,6853932.58,6.835939828,24.34456929
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.534,1.7,5,2,408,12,4460,1.00E-03,0.1,4080000,7640449.44,6.883118906,22.47191011
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.565,2.5,1,2,431,15,4462,1.00E-03,0.1,4310000,7628318.58,6.882428822,26.54867257
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.565,2.5,2,2,436,14,4464,1.00E-03,0.1,4360000,7716814.16,6.887438041,24.77876106
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.565,2.5,3,2,394,15,4466,1.00E-03,0.1,3940000,6973451.33,6.843447774,26.54867257
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.565,2.5,4,2,477,12,4468,1.00E-03,0.1,4770000,8442477.88,6.926469931,21.23893805
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.565,2.5,5,2,328,13,4470,1.00E-03,0.1,3280000,5805309.73,6.763825396,23.00884956
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.535,5,1,2,268,17,4472,1.00E-03,0.1,2680000,5009345.79,6.699781012,31.77570093
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.535,5,2,2,359,15,4474,1.00E-03,0.1,3590000,6710280.37,6.826740667,28.03738318
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.535,5,3,2,158,14,4476,1.00E-03,0.1,1580000,2953271.03,6.470303305,26.1682243
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.535,5,4,2,192,14,4478,1.00E-03,0.1,1920000,3588785.05,6.554947447,26.1682243
5/23/2017,6/4/2017,6/6/2017,5/23/2017,0.92,0.535,5,5,2,292,15,4480,1.00E-03,0.1,2920000,5457943.93,6.737029069,28.03738318
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.529,1,1,4,10,5,,1.00E-03,0.1,100000,189035.92,5.276544328,9.451795841
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.529,1,2,4,48,6,,1.00E-03,0.1,480000,907372.4,5.957785565,11.34215501
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.529,1,3,4,38,7,,1.00E-03,0.1,380000,718336.48,5.856327925,13.23251418
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.529,1,4,4,33,8,,1.00E-03,0.1,330000,623818.53,5.795058268,15.12287335
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.529,1,5,4,30,4,,1.00E-03,0.1,300000,567107.75,5.753665583,7.561436673
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.528,2,1,4,60,5,,1.00E-03,0.1,600000,1136363.64,6.055517328,9.46969697
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.528,2,2,4,70,8,,1.00E-03,0.1,700000,1325757.58,6.122464117,15.15151515
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.528,2,3,4,75,9,,1.00E-03,0.1,750000,1420454.55,6.152427341,17.04545455
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.528,2,4,4,102,9,,1.00E-03,0.1,1020000,1931818.18,6.285966249,17.04545455
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.528,2,5,4,87,8,,1.00E-03,0.1,870000,1647727.27,6.21688533,15.15151515
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.539,3,1,4,66,10,,1.00E-03,0.1,660000,1224489.8,6.08795517,18.5528757
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.539,3,2,4,28,9,,1.00E-03,0.1,280000,519480.52,5.715569266,16.69758813
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.539,3,3,4,122,8,,1.00E-03,0.1,1220000,2263450.83,6.354771065,14.84230056
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.539,3,4,4,61,10,,1.00E-03,0.1,610000,1131725.42,6.05374107,18.5528757
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.539,3,5,4,32,7,,1.00E-03,0.1,320000,593692.02,5.773561213,12.98701299
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.535,3.5,1,4,55,9,,1.00E-03,0.1,550000,1028037.38,6.012008907,16.82242991
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.535,3.5,2,4,44,7,,1.00E-03,0.1,440000,822429.91,5.915098894,13.08411215
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.535,3.5,3,4,62,10,,1.00E-03,0.1,620000,1158878.5,6.064037907,18.69158879
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.535,3.5,4,4,63,9,,1.00E-03,0.1,630000,1177570.09,6.070986767,16.82242991
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.535,3.5,5,4,75,9,,1.00E-03,0.1,750000,1401869.16,6.146707481,16.82242991
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.496,4,1,4,35,8,,1.00E-03,0.1,350000,705645.16,5.848586368,16.12903226
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.496,4,2,4,41,6,,1.00E-03,0.1,410000,826612.9,5.91730218,12.09677419
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.496,4,3,4,33,7,,1.00E-03,0.1,330000,665322.58,5.823032263,14.11290323
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.496,4,4,4,34,7,,1.00E-03,0.1,340000,685483.87,5.835997241,14.11290323
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.496,4,5,4,30,6,,1.00E-03,0.1,300000,604838.71,5.781639578,12.09677419
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.515,4.5,1,4,31,6,,1.00E-03,0.1,310000,601941.75,5.779554465,11.65048544
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.515,4.5,2,4,62,9,,1.00E-03,0.1,620000,1203883.5,6.08058446,17.47572816
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.515,4.5,3,4,43,8,,1.00E-03,0.1,430000,834951.46,5.921661227,15.53398058
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.515,4.5,4,4,100,9,,1.00E-03,0.1,1000000,1941747.57,6.288192771,17.47572816
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.515,4.5,5,4,64,12,,1.00E-03,0.1,640000,1242718.45,6.094372745,23.30097087
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.527,4.7,1,4,48,9,,1.00E-03,0.1,480000,910815.94,5.959430622,17.07779886
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.527,4.7,2,4,54,10,,1.00E-03,0.1,540000,1024667.93,6.010583145,18.97533207
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.527,4.7,3,4,62,10,,1.00E-03,0.1,620000,1176470.59,6.070581074,18.97533207
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.527,4.7,4,4,52,11,,1.00E-03,0.1,520000,986717.27,5.994192728,20.87286528
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.527,4.7,5,4,46,10,,1.00E-03,0.1,460000,872865.28,5.940947216,18.97533207
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.492,6,1,4,34,8,,1.00E-03,0.1,340000,691056.91,5.839513814,16.2601626
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.492,6,2,4,58,8,,1.00E-03,0.1,580000,1178861.79,6.071462891,16.2601626
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.492,6,3,4,42,6,,1.00E-03,0.1,420000,853658.54,5.931284188,12.19512195
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.492,6,4,4,41,5,,1.00E-03,0.1,410000,833333.33,5.920818754,10.16260163
6/7/2017,6/12/2017,6/20/2017,6/4/2017,0.641,0.492,6,5,4,35,8,,1.00E-03,0.1,350000,711382.11,5.852102942,16.2601626
